affectation_actuelle;affectation_9_juillet;affectation_3_septembre;affectation_4_mars;affectation_26_aout;parc_keolis;contrat_michelin;immatriculation;n_de_serie;mise_en_circulation;modele;certificat_immatriculation;nouvelle_licence_communautaire;gabarit;nb_places;id_modele
GC;"";"";GC;GC;129139;-;CN-394-NE;WEB62808310604328;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129140;-;CN-438-NE;WEB62808313604329;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129141;-;CN-412-NE;WEB62808310604330;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129142;-;CN-445-NE;WEB62808310604331;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129143;-;CN-473-NE;WEB62808310604332;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129145;-;CN-478-NE;WEB62808310604334;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129146;-;CN-454-NE;WEB62808310604335;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129147;-;CN-461-NE;WEB62808310604336;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;GC;129148;-;CN-430-NE;WEB62808310604337;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
GC;"";"";GC;sortir;069293;-;BC-684-EZ;WKK62878713102910;07/12/2006;SETRA 415 NF;Evobus;"";Autobus standard;"";2
JP;"";"";JP;JP;069295;-;CM-565-EB;WKK62878713102849;07/12/2006;SETRA 415 NF;Evobus;"";Autobus standard;"";2
GC;"";"";GC;GC;079368;-;CQ-704-VC;WKK62878713104699;25/10/2007;SETRA 415 NF;Evobus;"";Autobus standard;"";2
JP;JP;JP;JP;JP;119106;+;BY-517-TE;WEB62808313702686;08/12/2011;CITARO;KPA Rue Georges Claude;55;Autobus standard;108;1
JP;JP;JP;JP;JP;119107;+;BY-459-TE;WEB62808313702687;08/12/2011;CITARO;KPA Rue Georges Claude;25;Autobus standard;108;1
JP;JP;JP;JP;JP;119108;+;BY-591-TE;WEB62808313702691;08/12/2011;CITARO;KPA Rue Georges Claude;64;Autobus standard;108;1
